Model,Pipeline,Representation,Accuracy,Precision,Recall,F1-Score,Inference_Time_Seconds,Average_Inference_Time_Per_Sample
LogisticRegression,pipeline_0,TF-IDF,0.89,0.874136607828089,0.9112,0.8922835879357619,0.001009464263916,4.037857055664064e-07
NaiveBayes,pipeline_0,TF-IDF,0.858,0.867104183757178,0.8456,0.8562170919400567,0.0010075569152832,4.0302276611328123e-07
LogisticRegression,pipeline_1,TF-IDF,0.892,0.8729071537290716,0.9176,0.8946957878315133,0.0015058517456054,6.023406982421875e-07
NaiveBayes,pipeline_1,TF-IDF,0.8548,0.8562248995983935,0.8528,0.8545090180360722,0.0009987354278564,3.994941711425781e-07
LogisticRegression,pipeline_2,TF-IDF,0.892,0.8729071537290716,0.9176,0.8946957878315133,0.0009987354278564,3.994941711425781e-07
NaiveBayes,pipeline_2,TF-IDF,0.8548,0.8562248995983935,0.8528,0.8545090180360722,0.0009987354278564,3.994941711425781e-07
LogisticRegression,pipeline_3,TF-IDF,0.892,0.8729071537290716,0.9176,0.8946957878315133,0.0,0.0
NaiveBayes,pipeline_3,TF-IDF,0.8548,0.8562248995983935,0.8528,0.8545090180360722,0.00099945068359375,3.997802734375e-07
