Model,Pipeline,Representation,Accuracy,Precision,Recall,F1-Score,Inference_Time_Seconds,Average_Inference_Time_Per_Sample
LogisticRegression,pipeline_0,Bert,0.8484,0.8514931396287329,0.844,0.8477300120530333,0.0075182914733886,3.0073165893554687e-06
SVM,pipeline_0,Bert,0.8464,0.851461038961039,0.8392,0.8452860596293312,0.0075414180755615,3.0165672302246094e-06
LogisticRegression,pipeline_1,Bert,0.8128,0.8168557536466775,0.8064,0.8115942028985508,0.0075240135192871,3.009605407714844e-06
SVM,pipeline_1,Bert,0.8148,0.8175948345439871,0.8104,0.8139815186822017,0.0065205097198486,2.608203887939453e-06
LogisticRegression,pipeline_2,Bert,0.8128,0.8168557536466775,0.8064,0.8115942028985508,0.014803409576416,5.921363830566406e-06
SVM,pipeline_2,Bert,0.8148,0.8175948345439871,0.8104,0.8139815186822017,0.0240468978881835,9.618759155273438e-06
LogisticRegression,pipeline_3,Bert,0.8128,0.8168557536466775,0.8064,0.8115942028985508,0.0079977512359619,3.199100494384765e-06
SVM,pipeline_3,Bert,0.8148,0.8175948345439871,0.8104,0.8139815186822017,0.005507707595825195,2.203083038330078e-06
